Date,Deaths,DeathsPerDay
2020-02-21,1,0
2020-02-22,2,1
2020-02-23,3,1
2020-02-24,7,4
2020-02-25,10,3
2020-02-26,12,2
2020-02-27,17,5
2020-02-28,21,4
2020-02-29,29,8
2020-03-01,34,5
2020-03-02,52,18
2020-03-03,79,27
2020-03-04,107,28
2020-03-05,148,41
2020-03-06,197,49
2020-03-07,233,36
2020-03-08,366,133
2020-03-09,463,97
2020-03-10,631,168
2020-03-11,827,196
2020-03-12,827,0
2020-03-13,1266,439
2020-03-14,1441,175
2020-03-15,1809,368
2020-03-16,2158,349
2020-03-17,2503,345
2020-03-18,2978,475
2020-03-19,3405,427
2020-03-20,4032,627
2020-03-21,4825,793
2020-03-22,5476,651
2020-03-23,6077,601
2020-03-24,6820,743
2020-03-25,7503,683
2020-03-26,8215,712
2020-03-27,9134,919
2020-03-28,10023,889
2020-03-29,10779,756
2020-03-30,11591,812
2020-03-31,12428,837
2020-04-01,13155,727
2020-04-02,13915,760
2020-04-03,14681,766
2020-04-04,15362,681
2020-04-05,15887,525
2020-04-06,16523,636
2020-04-07,17127,604
2020-04-08,17669,542
2020-04-09,18279,610
2020-04-10,18849,570
2020-04-11,19468,619
2020-04-12,19899,431
2020-04-13,20465,566
2020-04-14,21067,602
